CMDLINE /home/oscar/anaconda2/envs/devito_newest/bin/python ./utest_nodask_naws.py
MEM 624.921875 1571167667.6583
MEM 624.921875 1571167667.7587
MEM 624.921875 1571167667.8590
MEM 624.921875 1571167667.9593
MEM 624.921875 1571167668.0596
MEM 626.367188 1571167668.1600
MEM 626.367188 1571167668.2602
MEM 626.367188 1571167668.3606
MEM 626.367188 1571167668.4609
MEM 626.367188 1571167668.5612
MEM 626.367188 1571167668.6614
MEM 626.367188 1571167668.7618
MEM 626.367188 1571167668.8621
MEM 626.367188 1571167668.9624
MEM 626.367188 1571167669.0627
MEM 626.367188 1571167669.1630
MEM 626.367188 1571167669.2632
MEM 626.367188 1571167669.3635
MEM 626.367188 1571167669.4638
MEM 626.367188 1571167669.5641
MEM 626.367188 1571167669.6644
MEM 626.367188 1571167669.7647
MEM 626.367188 1571167669.8650
MEM 626.367188 1571167669.9653
MEM 626.367188 1571167670.0657
MEM 626.367188 1571167670.1659
MEM 626.367188 1571167670.2662
MEM 626.367188 1571167670.3666
MEM 638.125000 1571167670.4669
MEM 638.125000 1571167670.5673
MEM 638.152344 1571167670.6676
MEM 638.152344 1571167670.7679
MEM 638.171875 1571167670.8682
MEM 638.171875 1571167670.9685
MEM 638.175781 1571167671.0688
MEM 638.175781 1571167671.1691
MEM 638.175781 1571167671.2693
MEM 638.175781 1571167671.3696
MEM 638.179688 1571167671.4700
MEM 638.187500 1571167671.5703
MEM 638.187500 1571167671.6706
MEM 638.187500 1571167671.7708
MEM 638.187500 1571167671.8711
MEM 638.187500 1571167671.9714
MEM 638.187500 1571167672.0718
MEM 638.187500 1571167672.1720
MEM 638.191406 1571167672.2723
MEM 638.191406 1571167672.3726
MEM 638.191406 1571167672.4729
MEM 638.191406 1571167672.5733
MEM 638.191406 1571167672.6736
MEM 638.191406 1571167672.7739
MEM 638.191406 1571167672.8742
MEM 638.191406 1571167672.9745
MEM 638.191406 1571167673.0748
MEM 638.191406 1571167673.1751
MEM 638.218750 1571167673.2754
MEM 638.218750 1571167673.3757
MEM 638.218750 1571167673.4761
MEM 638.218750 1571167673.5764
MEM 638.218750 1571167673.6767
MEM 638.218750 1571167673.7771
MEM 638.218750 1571167673.8773
MEM 638.218750 1571167673.9776
MEM 638.218750 1571167674.0780
MEM 638.218750 1571167674.1782
MEM 638.218750 1571167674.2785
MEM 638.218750 1571167674.3788
MEM 638.218750 1571167674.4790
MEM 638.218750 1571167674.5793
MEM 638.218750 1571167674.6796
MEM 638.218750 1571167674.7800
MEM 638.218750 1571167674.8803
MEM 638.218750 1571167674.9805
MEM 638.218750 1571167675.0809
MEM 638.218750 1571167675.1811
MEM 638.218750 1571167675.2814
MEM 638.218750 1571167675.3817
MEM 638.218750 1571167675.4820
MEM 638.218750 1571167675.5823
